,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_003,Tube1,1.7842043036178763e-05,3.231247036510195e-05,0.0,4.741583688952739e-10,3.438165050839442e-07,5.007112375533435e-07,5.706929978968869e-07,1.1480682599197234e-06,7.739930483074034e-07,2.0075437336234734e-06,1.0,1.0
HMU_004,Tube2,2.735159220532319e-05,4.9332670313276986e-05,0.0,4.972650422671633e-10,3.531962927756654e-07,5.489806066633515e-07,5.976062422743568e-07,1.3070706835923058e-06,8.986530388431171e-07,2.4172297905739027e-06,1.0,1.0
HMU_005,Tube3,1.363578311854174e-05,1.869430569430569e-05,0.0,9.990009990011315e-10,4.972715662370834e-07,7.974525474525474e-07,6.493450339521034e-07,1.5311307074543838e-06,6.734386457705311e-07,1.9592462999998726e-06,1.0,1.0
HMU_006,Tube4,3.322169151910532e-05,2.1700322729368378e-05,0.0,0.0,2.886766076421249e-07,4.628861226371558e-07,5.07972512092547e-07,9.55235780766792e-07,9.063610736008143e-07,1.5598937508399247e-06,1.0,1.0
HMU_007,Tube5,5.005341028331585e-05,2.7336475409836058e-05,0.0,4.0983606557364717e-10,3.045645330535152e-07,4.8094262295082e-07,5.252931648992689e-07,9.833915614082237e-07,9.066221230254049e-07,1.52737489676293e-06,1.0,1.0
HMU_008,Tube6,2.7750145467240782e-05,2.674260089686099e-05,0.0,0.0,5.168160130338647e-07,7.443946188340807e-07,6.892615510672324e-07,1.2981523859317503e-06,9.08297020615873e-07,1.714629071485794e-06,1.0,1.0
HMU_009,Tube7,3.2203957219251335e-05,7.657981418918917e-05,0.0,0.0,2.974331550802139e-07,4.681165540540541e-07,5.150011953444479e-07,1.0885485028419467e-06,7.918559971391313e-07,2.4012293379832596e-06,1.0,1.0
HMU_010,Tube8,3.135130988907246e-05,2.2022564102564102e-05,0.0,0.0,4.1060892140665565e-07,6.915384615384617e-07,6.038972226698623e-07,1.3937065088757395e-06,7.945684055977562e-07,2.004845465499946e-06,1.0,1.0
HMU_012,Tube9,8.721201368647827e-06,3.170341614906832e-05,0.0,1.0351966873707378e-09,6.153846153846154e-07,9.635093167701862e-07,7.818748641855983e-07,1.7486484039110288e-06,7.166378659238706e-07,2.362051955721808e-06,1.0,1.0
HMU_013,Tube10,1.6513116883116883e-05,3.961651728553137e-05,0.0,0.0,4.335714285714286e-07,9.318181818181816e-07,6.583359251138471e-07,2.035861309165668e-06,8.49353465028323e-07,3.304986189256614e-06,1.0,1.0
HMU_014,Tube11,1.332457179791016e-05,4.6663113006396596e-05,0.0,0.0,3.1853926532371e-07,4.976545842217497e-07,5.194177799779235e-07,1.033973477116398e-06,6.956986164817048e-07,1.8275589189496228e-06,1.0,1.0
HMU_015,Tube12,2.8151172799655693e-05,2.4754134029590957e-05,0.0,0.0,3.486658058962771e-07,5.422106179286335e-07,5.329371094424539e-07,1.1025330612535515e-06,6.877501747312979e-07,1.6482377399522731e-06,1.0,1.0
HMU_016,Tube13,1.2433915480810694e-05,2.5176136363636353e-05,0.0,0.0,3.77479517033204e-07,5.1461038961039e-07,5.361023504949365e-07,9.876415183842132e-07,6.195162579197962e-07,1.5623138874866523e-06,1.0,1.0
HMU_017,Tube14,1.3230719794344475e-05,2.3970024979184014e-05,0.0,0.0,3.9540488431876607e-07,5.562031640299752e-07,5.650112522936891e-07,1.0935577207725175e-06,5.694559748998438e-07,1.558534700800531e-06,1.0,1.0
HMU_019,Tube15,1.132428481937774e-05,1.515750615258408e-05,0.0,4.101722723544433e-10,4.258717895176445e-07,6.017227235438883e-07,5.623056069058517e-07,1.1450352667398406e-06,5.711834794522306e-07,1.5218530586077427e-06,1.0,1.0
HMU_025,Tube17,2.1903960186361712e-05,3.017952950887329e-05,0.0,0.0,3.574227022448115e-07,5.158893933140735e-07,5.309547790663652e-07,1.0462991461828273e-06,7.569955225321564e-07,1.6411118820993531e-06,1.0,1.0
HMU_026,Tube18,1.9970298192063862e-05,2.3174281676872354e-05,0.0,0.0,4.1189246301948817e-07,6.406029203956665e-07,5.948651836330627e-07,1.2402997562306295e-06,7.32282467048091e-07,1.7742110786189753e-06,1.0,1.0
HMU_027,Tube19,2.3653313603213194e-05,3.7466043106954045e-05,0.0,4.066693777948478e-10,2.7639784377972726e-07,3.969093127287515e-07,4.6607201627169614e-07,8.532723985273904e-07,6.880907029516378e-07,1.5052370443391197e-06,1.0,1.0
HMU_028,Tube20,3.40791061452514e-05,4.6546181172291285e-05,0.0,0.0,3.507821229050279e-07,5.353019538188278e-07,5.458420398863956e-07,1.1152646236698227e-06,8.480008039170028e-07,1.978603699062947e-06,1.0,1.0
HMU_030,Tube22,4.0770084033613446e-05,3.360277033065235e-05,0.0,4.4682752457557315e-10,4.2252100840336133e-07,6.695710455764076e-07,6.237376833086175e-07,1.279304737968999e-06,8.648204466436991e-07,1.898691029754598e-06,1.0,1.0
HMU_031,Tube23,2.8505324751316563e-05,3.623267577137077e-05,0.0,5.058168942843362e-10,3.837331772966647e-07,6.519979767324225e-07,5.977142864968821e-07,1.433864249184284e-06,8.219469452462339e-07,2.4627776207193085e-06,1.0,1.0
HMU_032,Tube24,8.34012038733316e-05,1.9577092511013216e-05,0.0,5.506607929511373e-10,5.208060717089767e-07,8.967511013215858e-07,7.215530935837783e-07,1.6533602437462398e-06,1.2811495112932994e-06,2.1376356953134387e-06,1.0,1.0
HMU_033,Tube25,1.4851904256573515e-05,1.830397148676171e-05,0.0,0.0,5.230515269425775e-07,8.765274949083505e-07,6.795921652123452e-07,1.708598458609347e-06,6.348466034955941e-07,2.2859152561081334e-06,1.0,1.0
HMU_034,Tube26,1.1799978584430882e-05,2.52192490289167e-05,0.0,0.0,2.8407752436020987e-07,4.6698316788951214e-07,5.093799057639285e-07,1.0395805970730312e-06,6.696354037259856e-07,1.7446984322388894e-06,1.0,1.0
HMU_035,Tube27,5.2170020240504826e-05,2.8025328330206376e-05,0.0,0.0,2.9896416240028573e-07,4.5567542213883625e-07,5.557061268030636e-07,1.0693757062047457e-06,9.946850321671616e-07,1.9969534709760103e-06,1.0,1.0
HMU_036,Tube28,1.7437839754195227e-05,3.603804347826087e-05,0.0,0.0,3.1263294729378397e-07,5.872282608695652e-07,5.048464611154425e-07,1.3621975425330815e-06,7.547525245965112e-07,2.5207046007922892e-06,1.0,1.0
HMU_037,Tube29,3.425927586593431e-05,3.4171861086375775e-05,0.0,8.904719501333028e-10,3.1218473265329e-07,4.530276046304544e-07,5.017847440424795e-07,9.96608396127597e-07,7.413340393435627e-07,1.7449672001616762e-06,1.0,1.0
