,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_003,Tube1,0.17439200000000002,0.05557800000000001,0.0,0.0,0.0022789999999999998,0.0009065000000000003,0.004530340142568359,0.0022682077375946173,0.006907821219177827,0.004214177489312567,9399.0,2378.0
HMU_004,Tube2,0.251394,0.056642,0.0,0.0,0.0043289999999999995,0.001579,0.005686883943111497,0.0029414715619694395,0.007273427709342306,0.0040753425407863645,9211.0,2356.0
HMU_005,Tube3,0.152667,0.029504000000000002,0.0,0.0,0.005104,0.0018180000000000002,0.006155727675603811,0.0032061465329262973,0.005886444909480552,0.0037659582168710925,9026.0,2293.0
HMU_006,Tube4,0.13996,0.043743000000000004,0.0,0.0,0.002861,0.0011320000000000002,0.004738669936708861,0.0023471879303361685,0.005786899035809885,0.003601055064263917,9480.0,2469.0
HMU_007,Tube5,0.22589299999999998,0.045559,0.0,0.0,0.0033020000000000002,0.0012270000000000024,0.005180071256921952,0.0025437890719164323,0.006598702889364602,0.0037762337583171273,9571.0,2489.0
HMU_008,Tube6,0.329594,0.04087100000000002,0.0,1.0000000000001327e-06,0.0033950000000000004,0.0013499999999999996,0.005455144788672416,0.002759596001665973,0.008538569184271096,0.004172496922584876,9393.0,2401.0
HMU_009,Tube7,0.290535,0.053699,0.0,0.0,0.0023769999999999998,0.0009685000000000006,0.004065213281727439,0.0020576923721709974,0.006753216856153238,0.0035815317368147184,9818.0,2386.0
HMU_010,Tube8,0.273239,0.053402000000000005,0.0,0.0,0.0029879999999999998,0.0012250000000000004,0.005189706795302014,0.00265103950193216,0.008441004695765211,0.0041274432441825775,9536.0,2329.0
HMU_012,Tube9,0.258256,0.052948999999999996,0.0,1.0000000000001327e-06,0.003811,0.0014629999999999999,0.005412795444590451,0.0029566332574031892,0.0068856588747712765,0.004247817568751104,9132.0,2195.0
HMU_013,Tube10,0.119306,0.04591399999999998,0.0,1.0000000000001327e-06,0.002292,0.0009089999999999992,0.004457626867287292,0.0023636720502467476,0.006351671458030646,0.0043437833108298605,9238.0,2229.0
HMU_014,Tube11,0.13095,0.05646100000000001,0.0,0.0,0.0024875,0.0009219999999999996,0.004673852321981424,0.002208209523809524,0.00669621162191094,0.0038277167776507837,9690.0,2520.0
HMU_015,Tube12,0.176591,0.06867200000000002,0.0,0.0,0.004002,0.0015189999999999995,0.005396037933563869,0.002870446252676659,0.006822097220444786,0.004160940629171257,9543.0,2335.0
HMU_016,Tube13,0.198898,0.054252999999999996,0.0,0.0,0.003325,0.0012325,0.005000395032706459,0.0026390759545085293,0.005827390893875961,0.0040099175932061274,9784.0,2462.0
HMU_017,Tube14,0.177272,0.039812,0.0,9.999999999992654e-07,0.003961,0.0015435000000000006,0.005460019871049572,0.0028186801801801803,0.00545507093236213,0.0037223319899733994,9461.0,2442.0
HMU_019,Tube15,0.11087000000000001,0.042558999999999986,0.0,2.0000000000002655e-06,0.004710000000000001,0.0017669999999999995,0.005837872983870968,0.002984218737270876,0.005703156199074712,0.003740260467613982,9424.0,2455.0
HMU_025,Tube17,0.186879,0.10011899999999999,0.0,0.0,0.004122,0.0015709999999999995,0.005643920422754118,0.0029793730126375867,0.007289755031630893,0.004498444703900846,9651.0,2453.0
HMU_026,Tube18,0.129999,0.06176899999999999,0.0,0.0,0.0025239999999999998,0.0009850000000000006,0.0044729285325198825,0.002205283467913302,0.006171571976523793,0.003913498514718425,9179.0,2353.0
HMU_027,Tube19,0.174259,0.09001999999999999,0.0,0.0,0.002378,0.0009584999999999997,0.004479253234557596,0.002175477629513344,0.00690512546515443,0.003932686058922018,9584.0,2548.0
HMU_028,Tube20,0.444304,0.07135699999999999,0.0,0.0,0.0026115,0.0010099999999999996,0.0047376955046649705,0.002207258248472505,0.009166604762337176,0.003928992674200185,9432.0,2455.0
HMU_030,Tube22,0.312314,0.07302900000000001,0.0,9.999999999992654e-07,0.0030175,0.0012209999999999999,0.0052015006507592195,0.0026405678958785254,0.007747263619702547,0.004583356657960074,9220.0,2305.0
HMU_031,Tube23,0.171171,0.041033,0.0,0.0,0.003181,0.0012839999999999996,0.00504794774270014,0.002634763620386643,0.006800763149559397,0.003936307681435687,9281.0,2276.0
HMU_032,Tube24,0.633342,0.07456800000000001,0.0,0.0,0.003172,0.0011439999999999992,0.005266228205747405,0.0026444509516837483,0.010915969354058556,0.004499352952305425,8282.0,2049.0
HMU_033,Tube25,0.144784,0.04081499999999999,0.0,0.0,0.004652,0.0018144999999999993,0.005893368834469216,0.003522818992654774,0.005449445085385212,0.004609174923067426,8657.0,1906.0
HMU_034,Tube26,0.148594,0.04525499999999999,0.0,0.0,0.0035399999999999997,0.0013465,0.004983860304865317,0.002523875732217573,0.005967076500370561,0.003436089237817885,9578.0,2390.0
HMU_035,Tube27,0.520548,0.041925000000000004,0.0,0.0,0.0036229999999999995,0.0013659999999999992,0.0050431549200630485,0.0026335943093162,0.008166094608061307,0.00380946694408266,8882.0,2179.0
HMU_036,Tube28,0.12327,0.04406399999999999,0.0,0.0,0.002809,0.0010969999999999999,0.004131063739229731,0.0022363268447261205,0.005281775668276074,0.00326694038975213,9633.0,2209.0
HMU_037,Tube29,0.526931,0.07004000000000005,0.0,9.999999999992654e-07,0.0018685,0.0007200000000000002,0.0037622054163990583,0.0016671030097498941,0.010510501062762133,0.0033362714129793803,9342.0,2359.0
HMU_038,Tube30,0.400859,0.06745899999999999,0.0,9.99999999999699e-07,0.003175,0.0012140000000000002,0.005387317035191529,0.0025778545594459406,0.008981601613442367,0.0041823457799166994,9633.0,2599.0
HMU_039,Tube31,0.351419,0.043687000000000004,0.0,0.0,0.003633,0.0014079999999999995,0.005415480008507018,0.0027641869120654397,0.006977311377684809,0.003980761442795886,9404.0,2445.0
HMU_040,Tube32,0.08243500000000001,0.036829,0.0,0.0,0.002724,0.0012064999999999992,0.004699294448494949,0.0027322486213235296,0.00573434463321861,0.0042266543780921486,9601.0,2176.0
HMU_042,Tube33,0.284548,0.041395,0.0,0.0,0.002625,0.0010799999999999994,0.0044378976979093255,0.0025610401519262074,0.007956016628938169,0.00419548646561289,8514.0,1843.0
HMU_044,Tube34,0.215714,0.054091,0.0,0.0,0.0028829999999999997,0.0010609999999999994,0.004868680071211645,0.0023249285999202233,0.00671310150581506,0.003793024227956491,9549.0,2507.0
HMU_046,Tube35,0.136139,0.038854,0.0,9.99999999999699e-07,0.002803,0.001007,0.004693488291504778,0.00222961083172147,0.0068424404100771484,0.0036657515307112246,9523.0,2585.0
HMU_047,Tube36,0.087227,0.04620199999999999,0.0,0.0,0.002804,0.0011169999999999965,0.004705119911176906,0.002428491560312886,0.005796662335535091,0.0038778362985839765,9457.0,2429.0
HMU_048,Tube37,0.129071,0.049543000000000004,0.0,9.999999999992654e-07,0.0023255,0.0010209999999999993,0.004333895904074703,0.0025301787109374995,0.006862353240247771,0.0045600554096585436,9424.0,2048.0
HMU_050,Tube38,0.215619,0.051115,0.0,0.0,0.002449,0.0009290000000000001,0.004752985460420033,0.002329425345043915,0.0071921986623127345,0.004030224191537539,9285.0,2391.0
HMU_051,Tube39,0.3082,0.03745900000000001,0.0,0.0,0.004183,0.0015570000000000028,0.005600771431501231,0.0029590036452004863,0.006367489833996284,0.0038923014559674126,9752.0,2469.0
HMU_052,Tube40,0.142727,0.10342699999999999,0.0,1.0000000000001327e-06,0.004111,0.0015460000000000022,0.00545219624671015,0.003228249871991807,0.005632291170461925,0.004880738002608703,8739.0,1953.0
HMU_053,Tube41,0.20524499999999998,0.051748,0.0,0.0,0.0030210000000000002,0.0010794999999999995,0.004784375882043181,0.0024972877358490565,0.006507420671416925,0.0042165270004992,9495.0,2332.0
HMU_054,Tube42,0.14876,0.058789,0.0,0.0,0.0023315,0.0009429999999999996,0.0045054482505761575,0.0022038598546042,0.006713707833402926,0.0038920823634316475,9546.0,2476.0
HMU_055,Tube43,0.219298,0.09195899999999999,0.0,0.0,0.002961,0.0012884999999999988,0.0047281501449897975,0.0026306010436432637,0.007053422924799272,0.00437479010868046,9311.0,2108.0
HMU_056,Tube44,0.318875,0.10213900000000001,0.0,0.0,0.001707,0.0006415,0.003531625733011383,0.0017375534734917733,0.007811339039797232,0.004278861413586977,8697.0,2188.0
HMU_057,Tube45,0.239358,0.05101,0.0,9.999999999992654e-07,0.0028005,0.0010920000000000005,0.004772612235915492,0.002451274366680979,0.007194036432892901,0.004237517013277785,9088.0,2329.0
HNJ_027,Tube61,0.610171,0.03168900000000002,0.0,9.999999999992654e-07,0.004002,0.0014980000000000002,0.005229584875462639,0.002893878627968338,0.008768044758861084,0.003775303771436581,9997.0,2274.0
HVR_027,Tube72,0.269572,0.0339,6e-06,0.0,0.0051990000000000005,0.0019110000000000012,0.006185465146514651,0.003231170196380439,0.005769817404047373,0.0038114200375511742,9999.0,2597.0
HVR_030,Tube73,0.19456500000000002,0.050726999999999994,3.1e-05,1.0000000000001327e-06,0.003232,0.0012039999999999967,0.004946640864086409,0.00238961504095309,0.006378734304504855,0.0037816124138034617,9999.0,2686.0
HVR_031,Tube74,0.143824,0.05352699999999999,1e-06,0.0,0.00361,0.001451000000000001,0.004653182018201821,0.0027822243078366965,0.0050769325431285215,0.0037587330591115193,9999.0,2131.0
HVR_032,Tube75,0.209744,0.06681699999999996,1e-06,0.0,0.0041849999999999995,0.0016689999999999995,0.005421212242448489,0.0030597043290043293,0.006228198607570348,0.0041781188139920185,9998.0,2310.0
HVR_033,Tube76,0.130156,0.044013,2.1e-05,0.0,0.00481,0.0017559999999999993,0.006049300430043004,0.003040988768115942,0.0057232746889929525,0.003629440522753773,9999.0,2760.0
HVR_036,Tube77,0.7380359999999999,0.03329,5.6999999999999996e-05,9.999999999992654e-07,0.004665,0.0016620000000000012,0.005912453845384539,0.0028906569022336143,0.009032551588962318,0.0034978316043584342,9999.0,2731.0
HVR_037,Tube78,0.803214,0.02890900000000001,3.5e-05,0.0,0.003851,0.0014104999999999977,0.005432130413041304,0.002574018587360595,0.01048294372571511,0.0032076170820999534,9999.0,2690.0
HVR_038,Tube79,0.60793,0.05304699999999998,2.2e-05,0.0,0.002912,0.0011259999999999998,0.0048340087008700875,0.002326958302308265,0.008814751452022932,0.0036203023608073277,9999.0,2686.0
HVR_039,Tube80,0.186386,0.04111699999999999,0.0,9.999999999992654e-07,0.003573,0.001334999999999989,0.004706116040598514,0.0025840103370786513,0.0054470353434778905,0.003600398785825231,9557.0,2225.0
HVR_040,Tube81,0.389946,0.047084999999999995,0.0,2.0000000000002655e-06,0.0035399999999999997,0.0012284999999999993,0.005121429972970267,0.002501980489671002,0.007498326053472949,0.0036101147975612052,9989.0,2614.0
HVR_041,Tube82,0.211412,0.07003,1e-06,0.0,0.004092,0.0015590000000000014,0.005641873187318732,0.0030921136079900126,0.006773174856054081,0.004371496726670167,9999.0,2403.0
HVR_042,Tube83,0.287666,0.046703,1.1e-05,0.0,0.004515,0.0016460000000000016,0.005785822782278228,0.0029320405456612353,0.00669985630332812,0.003636305896225098,9999.0,2639.0
HVR_043,Tube84,0.24581399999999998,0.060887,3.5e-05,0.0,0.004856,0.0017890000000000024,0.005991237723772378,0.0030422974896965158,0.006479508489370118,0.0037333289318479887,9999.0,2669.0
HVR_044,Tube85,0.068852,0.045168000000000014,9e-06,9.999999999992654e-07,0.0037359999999999997,0.001429500000000001,0.005025229122912291,0.002600708169677926,0.005187276746541721,0.003589827019607364,9999.0,2546.0
