,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_003,Tube1,0.15292999999999998,0.06563199999999998,0.0,0.0,0.002769,0.0010909999999999993,0.004689412162964722,0.002303649019607843,0.006856099498495433,0.003860622996604408,8419.0,2040.0
HMU_004,Tube2,0.20753600000000003,0.038454,0.0,0.0,0.00248,0.0009300000000000003,0.0044758826815642465,0.002083212887828162,0.007786661698637897,0.003480234458747427,8413.0,2095.0
HMU_005,Tube3,0.27941900000000003,0.05689100000000001,0.0,0.0,0.0033399999999999997,0.0011679999999999972,0.005150376795714633,0.002467486025580293,0.007683404792860975,0.0036123063237320477,8214.0,2111.0
HMU_006,Tube4,0.209315,0.060127000000000014,0.0,0.0,0.0034170000000000003,0.001321499999999998,0.004900920169053768,0.002383572093023256,0.00800749271915383,0.003271223457656,8518.0,2150.0
HMU_007,Tube5,0.618578,0.05083499999999999,0.0,9.99999999999699e-07,0.0032785,0.0012939999999999991,0.0054689822932412,0.002709711965811966,0.011216155360156693,0.004485323793010647,9262.0,2340.0
HMU_008,Tube6,0.582576,0.08880799999999994,0.0,9.99999999999699e-07,0.0038200000000000005,0.0013669999999999995,0.005736066269284712,0.002733528099910794,0.011977201642615487,0.004721740669821486,8556.0,2242.0
HMU_009,Tube7,0.14381300000000002,0.13394899999999998,0.0,0.0,0.002412,0.0009455000000000006,0.004147421437937063,0.002097101304347826,0.0065548742029742655,0.004490140974614421,9152.0,2300.0
HMU_010,Tube8,0.280577,0.062486,0.0,0.0,0.003746,0.001544499999999999,0.005200478884837078,0.002804171472708548,0.008715358554675515,0.003999964464305307,8501.0,1942.0
HMU_012,Tube9,0.16649,0.040546,0.0,0.0,0.002316,0.0009359999999999959,0.0042074401573803785,0.002021718766901028,0.007128237522674108,0.0032713512616667517,7879.0,1849.0
HMU_013,Tube10,0.38558200000000004,0.10256999999999997,0.0,1.0000000000001327e-06,0.0026609999999999997,0.0011039999999999995,0.004950348228043144,0.002444941397849462,0.010867532992309359,0.004933842010679986,7788.0,1860.0
HMU_014,Tube11,0.403846,0.059570999999999985,0.0,0.0,0.002189,0.0008350000000000013,0.0041948677973472496,0.0018302735522904062,0.010463973303641903,0.0033053766006071942,9198.0,2314.0
HMU_015,Tube12,0.163212,0.04507399999999996,0.0,0.0,0.002783,0.0011239999999999996,0.004677152994301688,0.002359024368231047,0.007403679466534713,0.0037639667811913014,9301.0,2216.0
HMU_016,Tube13,0.258255,0.07728600000000002,0.0,0.0,0.002886,0.0010569999999999998,0.004615952386117137,0.0021798922105263157,0.007168965747629363,0.003730391651311012,9220.0,2375.0
HMU_017,Tube14,0.20822100000000002,0.09101700000000001,0.0,0.0,0.002306,0.0008839999999999998,0.004239096704947944,0.002092393463497453,0.007102907551252734,0.0044951820822489354,9317.0,2356.0
HMU_019,Tube15,0.20942399999999997,0.09265899999999999,0.0,0.0,0.002891,0.0010695000000000001,0.0050086079415294,0.0024114335520918784,0.008005919170520726,0.004652107257698937,9167.0,2438.0
HMU_025,Tube17,0.25004099999999996,0.062003999999999976,0.0,9.99999999998398e-07,0.00238,0.0009199999999999998,0.004422153462122856,0.0020538546312178388,0.00800248807453061,0.0034285611908645534,9214.0,2332.0
HMU_026,Tube18,0.133876,0.07975099999999999,0.0,0.0,0.00164,0.0006220000000000002,0.0033479820002384076,0.0016038810551558752,0.006131284899322697,0.003819585627738526,8389.0,2085.0
HMU_027,Tube19,0.296435,0.11609199999999997,0.0,0.0,0.0014880000000000002,0.0005770000000000001,0.003574711975854263,0.0015978591137123747,0.007705129053283713,0.0038965071642310064,9277.0,2392.0
HMU_028,Tube20,0.524967,0.058440000000000006,0.0,1.0000000000001327e-06,0.0021964999999999997,0.0008225000000000001,0.0042695547550432285,0.0017905570212765958,0.010431753636405723,0.0032929243308115514,9022.0,2350.0
