,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,0.15881900000000002,0.041222999999999996,1e-06,0.0,0.003549,0.0012895000000000007,0.0048131886565969785,0.0024438614318706697,0.0053285906872861935,0.0033260095771828033,9997.0,2598.0
HMU_011,Tube1,0.166075,0.038356,2.6000000000000002e-05,9.99999999999699e-07,0.005176,0.0017835000000000004,0.006016554355435544,0.0031969734206471496,0.004710739876605296,0.003784677715921417,9999.0,2596.0
HMU_020,Tube2,0.193076,0.082889,1e-06,0.0,0.003367,0.0012919999999999997,0.005136750675067507,0.0025669996196272344,0.006045089760240475,0.004025109618914154,9999.0,2629.0
HNJ_001,Tube3,0.384171,0.038467,4e-06,9.999999999975306e-07,0.002734,0.000991,0.004662954595459546,0.0022830992307692312,0.008019569348125343,0.0037342821522296558,9999.0,2600.0
HNJ_002,Tube4,0.16272799999999998,0.04060199999999999,6e-06,0.0,0.005016,0.001914,0.006144726472647266,0.003260896031746032,0.0056413898108701975,0.0037697463600817136,9999.0,2520.0
HNJ_003,Tube5,0.097362,0.045253,9e-06,0.0,0.003339,0.0012760000000000002,0.00479609100910091,0.002442521066872826,0.005098015667776342,0.003377316574978343,9999.0,2587.0
HNJ_004,Tube6,0.130195,0.05008499999999998,3e-06,1.0000000000001327e-06,0.002133,0.0007750000000000005,0.0035514901490149016,0.0016061609150833656,0.006021849768944916,0.0029914116924966245,9999.0,2579.0
HNJ_005,Tube7,0.22543400000000002,0.063523,1e-06,0.0,0.002395,0.0009174999999999999,0.0043329016901690175,0.0020906274664561956,0.007884168688823669,0.0037242796011953995,9999.0,2534.0
HVR_002,Tube8,0.684699,0.036222,9e-06,0.0,0.003979,0.0014749999999999997,0.005307398839883988,0.0027162130155126752,0.00844109166699401,0.003509373037209273,9999.0,2643.0
HVR_003,Tube9,0.489996,0.044095,0.0,0.0,0.003518,0.001278,0.00508514945432498,0.002580405932864949,0.007725829918374025,0.003967512800575225,9896.0,2562.0
HVR_004,Tube10,0.11959000000000002,0.06787499999999999,1.4999999999999999e-05,0.0,0.0033090000000000003,0.0011480000000000006,0.004848708370837084,0.0023030256983240225,0.005643162490860135,0.00403911381983956,9999.0,2685.0
HVR_005,Tube11,0.19137200000000001,0.064751,2e-05,0.0,0.002634,0.0009479999999999996,0.003939305430543054,0.001778040989660266,0.0062846081146748535,0.0032307545337932455,9999.0,2708.0
HVR_006,Tube12,0.200159,0.041494,1.4000000000000001e-05,0.0,0.0049770000000000005,0.001724999999999999,0.006047135113511352,0.0031682637236084455,0.005278051628730598,0.003997103092248933,9999.0,2605.0
HVR_007,Tube13,0.130906,0.040137000000000006,4.9e-05,1.9999999999985307e-06,0.004673,0.0016920000000000008,0.005664160916091609,0.00287566816647919,0.005402345344064026,0.0034827844356663225,9999.0,2667.0
HVR_008,Tube14,0.500512,0.08845700000000001,0.0,0.0,0.002255,0.0008719999999999995,0.0039120711840515505,0.001796989381873341,0.008238533360263763,0.00390500187787083,9932.0,2637.0
HVR_045,Tube15,0.16206199999999998,0.11723000000000001,5e-06,0.0,0.0019030000000000002,0.0007129999999999992,0.003609286928692869,0.0016745199106810572,0.007012559481674902,0.004331781633558578,9999.0,2687.0
