,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,0.38016700000000003,0.06030700000000003,0.0,9.99999999999699e-07,0.002497,0.00102,0.004820583797685384,0.0024097236723672364,0.010052438469558283,0.004153915180078068,4666.0,1111.0
HMU_011,Tube1,0.209984,0.08226000000000001,0.0,0.0,0.0025495,0.0009789999999999998,0.0046008085377508764,0.0021512147777082028,0.007793100115178983,0.004163493418668476,6278.0,1597.0
HMU_020,Tube2,0.5273899999999999,0.05848900000000001,0.0,9.999999999975306e-07,0.004109000000000001,0.0016199999999999982,0.006197540109321909,0.002974314804310834,0.010589584437457314,0.00410834606804186,6769.0,1763.0
HNJ_001,Tube3,1.179881,0.05368700000000001,0.0,0.0,0.005148,0.001939999999999999,0.006891298200878311,0.0033744108658743635,0.018120582923443124,0.004192180893369729,7059.0,1767.0
HNJ_002,Tube4,0.279102,0.041399,0.0,6.999999999998327e-06,0.006242,0.0023715000000000055,0.007901160751173707,0.0040208060150375945,0.009680043234299883,0.004625899729266403,5325.0,1330.0
HNJ_003,Tube5,0.170234,0.05756499999999999,0.0,0.0,0.004264,0.0015050000000000011,0.005665530372097954,0.0028545693049417437,0.006299182173174334,0.0038741660299475285,9433.0,2489.0
HNJ_004,Tube6,0.259291,0.04841900000000002,0.0,9.999999999992654e-07,0.0041475,0.0015309999999999994,0.005803935696095077,0.002877591246580695,0.0073938880561377806,0.004038962242587476,9424.0,2559.0
HNJ_005,Tube7,0.163704,0.03977699999999999,0.0,9.999999999992654e-07,0.0041979999999999995,0.001570000000000001,0.005595755674543126,0.002946742396313364,0.005906736049896163,0.003973665173844504,8591.0,2170.0
HVR_002,Tube8,0.32814,0.03945699999999999,0.0,0.0,0.0034869999999999996,0.001286999999999999,0.005076737043737363,0.0023864177215189874,0.00700845726433818,0.003098421073305306,9397.0,2528.0
HVR_003,Tube9,0.141628,0.044868999999999985,0.0,9.99999999999699e-07,0.003714,0.0015359999999999983,0.005591693521700395,0.0029412654127481718,0.006787373898690584,0.004150864372798009,7857.0,1914.0
HVR_004,Tube10,0.367243,0.06282499999999999,0.0,0.0,0.004089,0.001607,0.006155666629099515,0.0029605015079707023,0.009632680222942027,0.004310489286590114,8873.0,2321.0
HVR_005,Tube11,0.2064,0.07881300000000002,0.0,0.0,0.003827,0.0014730000000000004,0.005719679129635305,0.0028741874530428253,0.0077547357352881,0.004693312997004525,9789.0,2662.0
HVR_006,Tube12,0.150575,0.042854,0.0,9.999999999975306e-07,0.002931,0.0011330000000000003,0.004738327255775407,0.00235455249500998,0.006092516740171976,0.0034618174942956104,9653.0,2505.0
HVR_007,Tube13,0.147795,0.040581,0.0,0.0,0.0037689999999999998,0.0013790000000000005,0.005341775786131313,0.002636498854961832,0.005783632902951149,0.0035762767964473683,9763.0,2620.0
HVR_008,Tube14,0.12178800000000001,0.056483999999999986,0.0,9.999999999992654e-07,0.002843,0.001024999999999999,0.0050048690631589515,0.0023488206820682068,0.006651543733577083,0.0037518060476891537,9959.0,2727.0
HVR_045,Tube15,0.293746,0.06261900000000004,0.0,0.0,0.0036490000000000003,0.0013725,0.00549212347826087,0.0026545379984951093,0.008048318110739564,0.003919167694435121,9775.0,2658.0
