,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,0.12575,0.05826800000000001,1e-06,0.0,0.002202,0.0008034999999999995,0.003598360216129678,0.0019054965841161402,0.005213157521131149,0.003521212248042026,9994.0,2342.0
HMU_011,Tube1,0.331561,0.06671099999999999,2e-06,9.999999999992654e-07,0.0033299999999999996,0.0013385000000000003,0.004846314631463146,0.0024648360858794387,0.0081381756146971,0.003690143225505265,9999.0,2422.0
HMU_020,Tube2,0.105295,0.030022,3e-06,0.0,0.002634,0.001007,0.003937616161616162,0.0019216736672051696,0.005126499455237393,0.00269313196865938,9999.0,2476.0
HNJ_001,Tube3,0.238997,0.06144500000000003,4e-06,0.0,0.0019329999999999998,0.0007439999999999999,0.0033086771677167713,0.0015409695238095239,0.00612624153966606,0.0026463083112723846,9999.0,2625.0
HNJ_002,Tube4,0.593014,0.038143000000000024,6e-06,0.0,0.004104,0.001527500000000001,0.005464443644364436,0.0026063863636363637,0.011289391470640793,0.0031583410021702213,9999.0,2552.0
HNJ_003,Tube5,0.5203220000000001,0.046801,3e-06,1.999999999999398e-06,0.0035520000000000005,0.00134,0.004969701870187019,0.002503923995224831,0.009600546176354549,0.003693947916296333,9999.0,2513.0
HNJ_004,Tube6,0.290572,0.049148,6e-06,1.000000000001e-06,0.005093,0.0018530000000000013,0.006212572357235724,0.003263666666666667,0.006249791088044813,0.004033786500783164,9999.0,2586.0
HNJ_005,Tube7,0.324947,0.046403,2e-06,0.0,0.0029725,0.0011145,0.004996164232846569,0.0024030208497246262,0.00949336269940749,0.003766896519814337,9998.0,2542.0
HVR_002,Tube8,0.44793999999999995,0.10564899999999999,5e-06,1.0000000000001327e-06,0.003544,0.0012935000000000002,0.005618715871587158,0.0026924631458966567,0.010324829869463344,0.004515333415709714,9999.0,2632.0
HVR_003,Tube9,0.169694,0.041863,7.000000000000001e-06,9.999999999975306e-07,0.003206,0.0011730000000000009,0.00451424202420242,0.002183983984375,0.0054600803287634695,0.0031019116521574844,9999.0,2560.0
HVR_004,Tube10,0.201518,0.12403900000000001,1.8e-05,0.0,0.003985,0.0014319999999999992,0.005422346834683469,0.0025421736861721955,0.007160033885118235,0.003999281828235627,9999.0,2683.0
HVR_005,Tube11,0.433989,0.041504,2.4e-05,0.0,0.003184,0.0011605,0.004629659365936594,0.0021572903946388685,0.008068671612523285,0.003033809220355589,9999.0,2686.0
HVR_006,Tube12,0.650828,0.03820799999999999,3e-06,1.0000000000001327e-06,0.0032270000000000003,0.0012930000000000007,0.004748912791279128,0.0023740403193612774,0.00904883196540798,0.0033949330024889033,9999.0,2505.0
HVR_007,Tube13,0.49971899999999997,0.04410900000000001,1.4999999999999999e-05,1.0000000000001327e-06,0.003909,0.001419000000000001,0.00538458105810581,0.0025911429640718565,0.008679161209398932,0.0033948138581529597,9999.0,2672.0
HVR_008,Tube14,0.245781,0.026504000000000007,3e-06,0.0,0.003783,0.0014305000000000012,0.005599908590859085,0.002678754424778761,0.007786366444284886,0.003515645533801556,9999.0,2712.0
HVR_045,Tube15,0.375153,0.04556700000000001,2e-05,0.0,0.00413,0.0015589999999999996,0.005493865086508651,0.0026586351803644472,0.007646168101824881,0.003380064776496229,9999.0,2689.0
