,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,0.132306,0.063771,0.0,0.0,0.0020835,0.0009230000000000006,0.0037187109468161217,0.002057482037533512,0.006194214338137975,0.0036647971668759827,8386.0,1865.0
HMU_011,Tube1,0.200009,0.047161,0.0,0.0,0.0014349999999999999,0.0006389999999999998,0.00356044134201523,0.0017520567823343849,0.00666935515019413,0.0036765418376665327,9061.0,2219.0
HMU_020,Tube2,0.140204,0.035531999999999994,0.0,0.0,0.002449,0.0009039999999999999,0.004105093063709502,0.0019583564273789648,0.005856297435403835,0.0032853563584754213,9198.0,2396.0
HNJ_001,Tube3,0.20415,0.09281899999999998,0.0,0.0,0.002299,0.00083,0.00399196463471382,0.0017922903225806453,0.007411767093874759,0.0034658889509296023,8596.0,2263.0
HNJ_002,Tube4,1.626311,0.039712000000000004,0.0,3.9999999999996635e-06,0.004368,0.0016485000000000002,0.006864413174454411,0.0030692515274949083,0.023498958951718676,0.004153941840778586,7469.0,1964.0
HNJ_003,Tube5,0.67215,0.061273999999999995,0.0,1.000000000001e-06,0.0042899999999999995,0.0016010000000000009,0.006104225746268657,0.0027811387696709588,0.014404503244206205,0.003662343567654893,8040.0,2097.0
HNJ_004,Tube6,0.562299,0.10775899999999994,0.0,2.999999999999531e-06,0.004635,0.0017630000000000007,0.00694999102157013,0.0032466380796060726,0.01577075181841085,0.005441881248114732,9133.0,2437.0
HNJ_005,Tube7,0.527593,0.079656,0.0,9.999999999992654e-07,0.0034549999999999997,0.0012669999999999982,0.005538183062130178,0.002670422507403751,0.013320527976015321,0.004185570193673338,8112.0,2026.0
HVR_002,Tube8,0.84905,0.08248500000000003,0.0,0.0,0.0043685,0.0015980000000000005,0.005868041016876735,0.0028236511721907846,0.012659298033000924,0.0037533167328584268,9362.0,2474.0
HVR_003,Tube9,0.621892,0.070215,0.0,0.0,0.002589,0.0010420000000000004,0.004358167894796508,0.002043130989010989,0.010547781935443267,0.0033064117146535043,8821.0,2275.0
HVR_004,Tube10,0.420339,0.04336000000000001,0.0,0.0,0.0034340000000000004,0.0012910000000000005,0.005201793621207414,0.0023975851442117734,0.009723497456871982,0.00335590292780439,9657.0,2531.0
HVR_005,Tube11,0.409582,0.040205,0.0,0.0,0.0033060000000000003,0.0011960000000000009,0.005037733748977923,0.002285602631578947,0.008611281749787592,0.0032366426374833275,9784.0,2660.0
HVR_006,Tube12,0.6238779999999999,0.08592900000000006,0.0,0.0,0.003168,0.0012310000000000012,0.00522400010529641,0.00255248388447049,0.011884031625664482,0.004213152583688441,9497.0,2389.0
HVR_007,Tube13,0.306863,0.05255899999999998,0.0,0.0,0.003988,0.0015309999999999998,0.005974301497160557,0.0027284691780821916,0.011168894957319798,0.0037790401953083598,9685.0,2628.0
HVR_008,Tube14,0.21711399999999997,0.052549999999999986,0.0,0.0,0.0034270000000000004,0.0012389999999999992,0.00510416914006912,0.002407159242761693,0.007282724401662215,0.003378235808368497,9838.0,2694.0
HVR_045,Tube15,0.5456340000000001,0.12723,0.0,9.999999999992654e-07,0.003453,0.0012359999999999997,0.005124641664970487,0.0024592068836513277,0.009535720465843008,0.0045893551886658475,9826.0,2673.0
