,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,1.8036680251945164e-05,2.861017811704835e-05,0.0,0.0,2.4638755094479434e-07,4.259541984732829e-07,5.068820287251605e-07,1.0643044629618836e-06,8.578494809869049e-07,1.892323692047445e-06,1.0,1.0
HMU_011,Tube1,1.892421892311101e-05,1.7431176726009545e-05,0.0,0.0,3.7192554841568806e-07,5.662179765523233e-07,5.711802779266966e-07,1.123251987392457e-06,7.072341716791067e-07,1.6222485028705763e-06,1.0,1.0
HMU_020,Tube2,2.4604945177892147e-05,3.7850511073253825e-05,0.0,0.0,4.0271872902215266e-07,5.63884156729131e-07,6.341602359427799e-07,1.1815657749246163e-06,8.520413798877633e-07,1.947556869144877e-06,1.0,1.0
HNJ_001,Tube3,0.00013056317488589558,1.9020632133450393e-05,0.0,8.779631255488434e-10,4.2714015362351104e-07,6.12379280070237e-07,6.190511078175558e-07,1.1344050547243125e-06,1.7215732004824138e-06,1.572486365750138e-06,1.0,1.0
HNJ_002,Tube4,2.565810086574138e-05,3.86917211328976e-05,0.0,0.0,8.175072145114745e-07,1.1674836601307193e-06,9.679693951412723e-07,1.9949396243610007e-06,9.0200666634419e-07,2.4703987884712226e-06,1.0,1.0
HNJ_003,Tube5,2.0238184590125484e-05,2.881366459627328e-05,0.0,0.0,4.614753137093937e-07,6.734693877551021e-07,6.42484240313975e-07,1.2315457721223592e-06,7.512060152875126e-07,1.766456441019538e-06,1.0,1.0
HNJ_004,Tube6,3.715668598411677e-05,1.980258899676375e-05,0.0,1.21359223300987e-09,4.500429276668812e-07,6.332928802588997e-07,6.155627258303714e-07,1.1355464372492957e-06,8.08348269117351e-07,1.5459721392372653e-06,1.0,1.0
HNJ_005,Tube7,1.0901863782788773e-05,3.912992304210049e-05,0.0,4.5269352648223875e-10,4.3994477680625866e-07,6.527840651878681e-07,6.336137333915863e-07,1.297915171094176e-06,7.06881668088502e-07,2.0212227791222493e-06,1.0,1.0
HVR_002,Tube8,5.057409555954013e-05,2.8388615888615887e-05,0.0,4.0950040950010865e-10,3.931019934606055e-07,5.84152334152334e-07,5.82451175729239e-07,1.152242425583949e-06,7.991937627773224e-07,1.6744425006033052e-06,1.0,1.0
HVR_003,Tube9,1.556672384219554e-05,2.529040278468424e-05,0.0,4.972650422671633e-10,3.375643224699828e-07,6.260566882148184e-07,5.514251351993674e-07,1.2930300552332632e-06,7.368381755086981e-07,2.0714762017936427e-06,1.0,1.0
HVR_004,Tube10,1.93467012987013e-05,3.9105391163356296e-05,0.0,0.0,4.282597402597402e-07,6.226185650587762e-07,6.053612116714454e-07,1.1999025975466346e-06,8.857562217165344e-07,1.857393332588828e-06,1.0,1.0
HVR_005,Tube11,4.0494623655913976e-05,1.810439354111903e-05,0.0,0.0,2.4624670318523025e-07,3.43221930153962e-07,4.302864831551425e-07,7.050405911583176e-07,8.827614733056683e-07,1.244629298939074e-06,1.0,1.0
HVR_006,Tube12,3.988377397615345e-05,2.8787150177374846e-05,0.0,3.9416633819477047e-10,3.6775531363400723e-07,5.415845486795429e-07,5.291000771020798e-07,9.89438455128971e-07,7.547957630379979e-07,1.4929456305190377e-06,1.0,1.0
HVR_007,Tube13,2.257301765486274e-05,1.5836166924265845e-05,0.0,3.8639876352400803e-10,3.900397999795897e-07,5.442426584234932e-07,5.238358981650161e-07,9.751949313082136e-07,6.242745649811649e-07,1.3234921064530562e-06,1.0,1.0
HVR_008,Tube14,4.1191836321280254e-05,2.366516516516516e-05,0.0,0.0,2.2445052162463284e-07,3.258258258258264e-07,4.2272654261844975e-07,7.32946347248149e-07,8.713038821916745e-07,1.35561451089284e-06,1.0,1.0
HVR_045,Tube15,2.241533448732308e-05,2.044183402804093e-05,0.0,0.0,3.2135220445983095e-07,4.391815081470255e-07,4.981377117774004e-07,8.547166335382876e-07,8.038041181884075e-07,1.3169927625346945e-06,1.0,1.0
