,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_003,Tube1,0.168196,0.06265200000000001,0.0,1.0000000000001327e-06,0.00293,0.0011174999999999987,0.005050395993448406,0.0026429973711882227,0.006986457396604253,0.004811164524903753,7937.0,1902.0
HMU_004,Tube2,0.313145,0.15488899999999997,0.0,0.0,0.002677,0.0010129999999999987,0.004864568048078127,0.0025679543991416307,0.008145471592061967,0.00546413733159224,7987.0,1864.0
HMU_005,Tube3,0.137096,0.036679,0.0,1.000000000001e-06,0.004726,0.0017879999999999997,0.006046138322835619,0.0032837574083375187,0.005813609461480542,0.004227958879792422,8097.0,1991.0
HMU_006,Tube4,0.425598,0.10326099999999996,0.0,0.0,0.00302,0.0012130000000000005,0.005071003549695741,0.00249037855361596,0.0100304597213609,0.00499449601738451,7888.0,2005.0
HMU_007,Tube5,0.12113299999999999,0.07838200000000001,0.0,9.999999999999159e-07,0.002807,0.0010945,0.005040516502732241,0.0023861896407685883,0.007662297318097872,0.004124868993535131,9150.0,2394.0
HMU_008,Tube6,0.326546,0.06725099999999999,0.0,9.999999999992654e-07,0.0046984999999999996,0.0016790000000000008,0.006271877881844381,0.003066205139765555,0.008995965788903423,0.004221658434291635,8328.0,2218.0
HMU_009,Tube7,0.3195,0.05283900000000001,0.0,9.999999999992654e-07,0.0031899999999999997,0.0012079999999999986,0.0051249929183323824,0.002620652838427948,0.007480061917620764,0.004529494648687859,8755.0,2290.0
HMU_010,Tube8,0.128863,0.068795,0.0,0.0,0.004459,0.0017345000000000017,0.005819166843924487,0.0033040379464285715,0.00566169539661988,0.0046750037276424485,7522.0,1792.0
HMU_012,Tube9,0.10998499999999999,0.057684,0.0,0.0,0.0034145,0.0013310000000000023,0.005282124933757287,0.0027981832884097033,0.006737629420847064,0.004662038550887724,7548.0,1855.0
HMU_013,Tube10,0.10617,0.05439300000000001,0.0,1.9999999999985307e-06,0.005818,0.00221,0.007475222776572668,0.004335519493177387,0.007572585389980656,0.005752467977018044,4610.0,1026.0
HMU_014,Tube11,0.092314,0.058543,0.0,1.0000000000001327e-06,0.00409,0.0014089999999999997,0.0056347012704589675,0.0027935626079447326,0.005477825482376491,0.004148818555945323,8737.0,2316.0
HMU_015,Tube12,0.107617,0.039564,0.0,1.0000000000001327e-06,0.004101,0.001568,0.005597769867348181,0.002970103714423541,0.005548811658735864,0.004051716942209614,8217.0,2073.0
HMU_016,Tube13,0.134159,0.05562699999999999,0.0,9.999999999992654e-07,0.004070000000000001,0.0015320000000000021,0.00542040251083213,0.0027538232258064515,0.0054315593488604786,0.003918783655393998,9001.0,2325.0
HMU_017,Tube14,0.13051300000000002,0.04175299999999999,0.0,9.999999999992654e-07,0.0046145000000000005,0.0017215,0.005986637320788531,0.0030532841695501732,0.005536973539235903,0.0038656950546208805,8928.0,2312.0
HMU_019,Tube15,0.082902,0.041240000000000006,0.0,0.0,0.004386999999999999,0.0016609999999999975,0.005571898659873741,0.002990040452370596,0.005147207480842827,0.003936295240531909,9029.0,2299.0
HMU_025,Tube17,0.135624,0.05621599999999999,0.0,1.0000000000001327e-06,0.004476,0.0016559999999999995,0.0058652751410554265,0.0030826977437207323,0.006131374259536983,0.004241507372570517,9039.0,2349.0
