,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_003,Tube1,0.22285700000000003,0.06636399999999999,0.0,2.0000000000002655e-06,0.00337,0.0012770000000000004,0.005281088000951362,0.0028494902255639097,0.0069130010763703694,0.004585438527393095,8409.0,1995.0
HMU_004,Tube2,0.137696,0.044719999999999996,0.0,1.000000000001e-06,0.0044675,0.001687000000000001,0.005829974626511738,0.0030785320843091336,0.006561989006843814,0.004095834980572419,8434.0,2135.0
HMU_005,Tube3,0.330627,0.045236,0.0,9.999999999992654e-07,0.0047469999999999995,0.0016415000000000002,0.006171809702395356,0.003203593488372093,0.006893606866563815,0.004132221760000068,8266.0,2150.0
HMU_006,Tube4,0.10976,0.06882300000000001,0.0,1.000000000001e-06,0.0028185,0.001104,0.004783437718684394,0.0023876386779812415,0.006370798473441518,0.003849079184134744,8574.0,2239.0
HMU_007,Tube5,0.21304099999999998,0.05006499999999999,0.0,2.0000000000002655e-06,0.003188,0.001231499999999999,0.0053574389374797535,0.00269705463576159,0.007605088652419272,0.004407971971156917,9261.0,2416.0
HMU_008,Tube6,0.24317199999999997,0.054149,0.0,0.0,0.0046405,0.0017740000000000117,0.00647252181480622,0.003249850692892266,0.008452984228769523,0.004202412074048949,8618.0,2237.0
HMU_009,Tube7,0.103004,0.067029,0.0,0.0,0.0037119999999999996,0.001445,0.0054039564127710575,0.002907705322371268,0.0058262786137813025,0.0043219457278199265,9177.0,2311.0
HMU_010,Tube8,0.365589,0.04706900000000001,0.0,0.0,0.0033345000000000002,0.0013630000000000005,0.005486568770607631,0.002945303740648379,0.009150156914278352,0.004520455808899191,8492.0,2005.0
HMU_012,Tube9,0.108174,0.06419800000000002,0.0,9.999999999992654e-07,0.0034240000000000004,0.001289000000000001,0.005272381711516388,0.0028307632978723405,0.006120931325051888,0.004642330201506908,7841.0,1880.0
HMU_013,Tube10,0.106905,0.05576400000000001,0.0,1.0000000000001327e-06,0.0038205,0.0014560000000000007,0.005464698501397003,0.002999613814756672,0.006326578584994101,0.004492399164216337,7874.0,1911.0
HMU_014,Tube11,0.14040999999999998,0.07041099999999999,0.0,0.0,0.003071,0.001267,0.004996184176253527,0.0026088433632095605,0.006710910602121366,0.004269817692625819,9214.0,2343.0
HMU_015,Tube12,0.302697,0.046124,0.0,1.000000000001e-06,0.0037689999999999998,0.0013549999999999986,0.005373062036340179,0.002799438992618324,0.006705322488131536,0.0042188656648072245,9301.0,2303.0
HMU_016,Tube13,0.116122,0.04997900000000001,0.0,0.0,0.0042404999999999995,0.0015884999999999996,0.005674199611147117,0.002858590719063545,0.006027659881990822,0.0036182091432057114,9258.0,2392.0
HMU_017,Tube14,0.11068800000000001,0.06513800000000002,0.0,1.000000000001e-06,0.0037974999999999997,0.0014169999999999999,0.005360912293853073,0.0028703883333333334,0.005549411328363149,0.004483302110613398,9338.0,2400.0
