,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,1.280519900765829e-05,3.0514754098360666e-05,0.0,0.0,2.183151763563801e-07,3.723653395784546e-07,4.195231351618642e-07,9.715033812503772e-07,6.687835862941955e-07,1.8201756707032629e-06,1.0,1.0
HMU_011,Tube1,1.4453777128547581e-05,2.280580075662042e-05,0.0,0.0,1.667883973288815e-07,2.862547288776796e-07,3.8520322067455217e-07,7.799070647767234e-07,6.592092449769688e-07,1.5605098323138054e-06,1.0,1.0
HMU_020,Tube2,2.7224747742963358e-05,3.4596526655896626e-05,0.0,0.0,3.0631970260223046e-07,4.2467689822294e-07,4.906681324842648e-07,8.584144458856722e-07,7.745255185054167e-07,1.4126272981937691e-06,1.0,1.0
HNJ_001,Tube3,4.181057020509353e-05,2.8243064729194183e-05,0.0,4.4033465433697284e-10,2.7203065134099616e-07,4.139145750770589e-07,4.691531108724761e-07,9.136949894337133e-07,8.369230972028331e-07,1.710890040504092e-06,1.0,1.0
HNJ_002,Tube4,0.00022004941634241247,2.5787041687594168e-05,0.0,0.0,5.662127107652399e-07,8.754394776494214e-07,8.43783201360606e-07,1.5353228150484314e-06,2.833728377394181e-06,2.0868876467593555e-06,1.0,1.0
HNJ_003,Tube5,0.00010016749750747758,3.160842207163601e-05,0.0,4.840271055171336e-10,4.1731056829511466e-07,5.953533397870282e-07,6.91770215276404e-07,1.2082464536697502e-06,1.958446854269901e-06,1.870593376693558e-06,1.0,1.0
HNJ_004,Tube6,5.7771328441572665e-05,2.011010309278351e-05,0.0,0.0,4.511006461504763e-07,6.569072164948453e-07,6.900835609780712e-07,1.2216650441067064e-06,1.5207217483940734e-06,1.6946617321137114e-06,1.0,1.0
HNJ_005,Tube7,5.188056554632271e-05,2.0741983967935868e-05,0.0,0.0,4.297407912687585e-07,6.470440881763532e-07,7.187755534677006e-07,1.4022978321372203e-06,1.4356969598428695e-06,2.1405676359795672e-06,1.0,1.0
HVR_002,Tube8,3.432596626094384e-05,6.191522762951336e-05,0.0,0.0,3.813260730301089e-07,5.158948194662481e-07,5.817502974967863e-07,9.79447049922493e-07,9.320823747470106e-07,1.812037983415392e-06,1.0,1.0
HVR_003,Tube9,3.833386277001271e-05,3.626989335520919e-05,0.0,4.101722723544433e-10,2.9817873782295636e-07,4.4667760459392967e-07,4.714188508340298e-07,8.888219475477484e-07,8.071003256910767e-07,1.6369939729802398e-06,1.0,1.0
HVR_004,Tube10,4.3498395611220374e-05,3.614484126984127e-05,0.0,0.0,3.247075872062933e-07,4.58730158730157e-07,5.169869699680788e-07,9.152018770471152e-07,1.032322663609644e-06,1.504998470689722e-06,1.0,1.0
HVR_005,Tube11,4.138259626187315e-05,1.711508852963818e-05,0.0,0.0,3.9178837708099274e-07,5.690916089299464e-07,5.640023566380681e-07,1.0349921269455216e-06,1.0106914172010482e-06,1.3534882971207274e-06,1.0,1.0
HVR_006,Tube12,6.525486893357197e-05,2.5037840136054425e-05,0.0,0.0,2.8434572060216865e-07,4.761904761904762e-07,5.282118725469974e-07,1.0454095009602481e-06,1.1649788149084436e-06,1.8004019736352506e-06,1.0,1.0
HVR_007,Tube13,5.119469391968617e-05,1.744245723172628e-05,0.0,0.0,3.2610715391762155e-07,4.7550544323483707e-07,5.50588504318545e-07,9.578038947971818e-07,1.1835510969336862e-06,1.4229782500504536e-06,1.0,1.0
HVR_008,Tube14,1.7085337392186705e-05,2.1670631970260222e-05,0.0,3.717472118959601e-10,3.80416032470827e-07,4.988847583643122e-07,5.326664540453522e-07,9.362399635162587e-07,6.819701757904802e-07,1.3201979246909762e-06,1.0,1.0
HVR_045,Tube15,1.8874440374440373e-05,3.215159474671669e-05,0.0,3.752345215760348e-10,2.9634717134717137e-07,4.135084427767357e-07,4.991746004413892e-07,8.603800921542193e-07,9.116392640656659e-07,1.6895152125046084e-06,1.0,1.0
