,,MaxPer0,MaxPer1,MinPer0,MinPer1,MedPer0,MedPer1,MeanPer0,MeanPer1,StdPer0,StdPer1,Lenlist0,Lenlist1
HMU_002,Tube0,2.6454858794752056e-05,2.8964203763194125e-05,0.0,4.589261128954866e-10,3.0837224816544364e-07,4.823313446535107e-07,5.250948807865338e-07,1.0876121330881516e-06,7.641718730707536e-07,1.7715461760255729e-06,1.0,1.0
HMU_011,Tube1,1.0344736003399554e-05,1.8196741344195515e-05,0.0,1.2219959266804065e-09,4.289811962179964e-07,6.012219959266805e-07,5.965858938944785e-07,1.1950813212156911e-06,6.264177441156996e-07,1.7199702701233896e-06,1.0,1.0
HMU_020,Tube2,1.2064826700898588e-05,5.487389659520808e-05,0.0,4.203446826396381e-10,2.665275994865212e-07,3.9932744850777616e-07,4.937901658845654e-07,9.531088632653556e-07,6.746422456185086e-07,1.944397505755672e-06,1.0,1.0
HNJ_001,Tube3,5.0374571624400276e-05,1.9197742663656876e-05,0.0,0.0,3.220242175005712e-07,4.9255079006772e-07,5.593496238594071e-07,1.0980945635391771e-06,9.442610713308144e-07,1.844363897885278e-06,1.0,1.0
HNJ_002,Tube4,3.741477040468728e-05,3.52288503253796e-05,0.0,5.422993492413233e-10,7.574601444338467e-07,1.1697396963123658e-06,9.91452875453058e-07,2.049733026383275e-06,1.4166718953319557e-06,2.5797781406247746e-06,1.0,1.0
HNJ_003,Tube5,1.4351146763077618e-05,3.007885304659497e-05,0.0,0.0,3.2595186984521525e-07,5.394265232974913e-07,5.444149549731178e-07,1.0926911508716488e-06,7.182485332698781e-07,1.824931113743292e-06,1.0,1.0
HNJ_004,Tube6,1.1930249632892805e-05,3.332605177993527e-05,0.0,4.045307443362724e-10,2.202118732955737e-07,3.10679611650486e-07,3.882669552389516e-07,6.769525808799656e-07,6.784798226909919e-07,1.3930352699388284e-06,1.0,1.0
HNJ_005,Tube7,4.9579580287668e-05,1.804886308659894e-05,0.0,0.0,2.8542796510257014e-07,4.6831156265118516e-07,5.45457637492014e-07,9.938759350814011e-07,1.327353256537912e-06,1.5823486619051937e-06,1.0,1.0
HVR_002,Tube8,7.300829346092504e-05,1.7564774951076322e-05,0.0,3.913894324843564e-10,4.843168527379054e-07,6.379647749510761e-07,6.371151680209014e-07,1.0952562222111589e-06,1.1460853804077081e-06,1.3501812577078954e-06,1.0,1.0
HVR_003,Tube9,2.832670965014269e-05,3.650560398505604e-05,0.0,0.0,3.2565267942078007e-07,4.5163968451639666e-07,5.005920812370201e-07,9.860101552897404e-07,7.029214461678049e-07,1.7441801502472463e-06,1.0,1.0
HVR_004,Tube10,6.71861871419478e-05,2.458269065981148e-05,0.0,0.0,3.5502864417568424e-07,5.387746358183376e-07,5.274790815873805e-07,1.0581945371465662e-06,9.318559698932514e-07,1.617672112779006e-06,1.0,1.0
HVR_005,Tube11,1.5443438453713123e-05,2.554387947269303e-05,0.0,0.0,2.6215666327568665e-07,3.5706214689265573e-07,4.1381096131695593e-07,7.00641861817769e-07,7.196778135475884e-07,1.284272735322944e-06,1.0,1.0
HVR_006,Tube12,2.168190981432361e-05,2.7512376237623772e-05,0.0,4.125412541258251e-10,5.154376657824933e-07,7.458745874587454e-07,6.588881931203344e-07,1.3782661217854458e-06,7.14095218793642e-07,1.7778590984065595e-06,1.0,1.0
HVR_007,Tube13,2.9398169801728517e-05,2.19076229815997e-05,0.0,3.7551633496062064e-10,4.859176410777835e-07,6.229815996995872e-07,6.193975481049933e-07,1.1209333223719602e-06,7.590619354937277e-07,1.5449467451895601e-06,1.0,1.0
HVR_008,Tube14,5.040105380484345e-05,4.1056981132075474e-05,0.0,3.773584905657605e-10,2.326476846691661e-07,3.2264150943396214e-07,3.9549898174136715e-07,6.686762548949804e-07,8.197622806312734e-07,1.4897368450521224e-06,1.0,1.0
HVR_045,Tube15,1.3265530959910234e-05,3.635525812619504e-05,0.0,3.824091778201526e-10,2.2819545037233501e-07,3.281070745697901e-07,3.9350898719254675e-07,6.64635925258382e-07,6.900211868344006e-07,1.4492176293079817e-06,1.0,1.0
